"regsub","year","threshold","model_name","xmin","par1","par2","n","LL","AICc","delta_AICc","AICc_weight","LRT","pvalue"
"AF1","2000","20","Power",262.9569,1.983,0,34238,-265742.5707,531487.1416,0,0.7311,0,0.9929
"AF1","2000","20","PowerExp",262.9569,1.983,0,34238,-265742.5708,531489.1419,2.0003,0.2689,0,0.9929
"AF1","2000","20","LogNormPos",262.9569,0,2.7751,34238,-266099.06,532202.1204,714.9788,0,356.4893,0
"AF1","2000","20","Exp",262.9569,0.0001,0,34238,-364342.6146,728687.2293,197200.0877,0,98600.0439,0
"AF1","2000","25","Power",187.8263,1.9695,0,44950,-336936.4237,673874.8474,0,0.7311,0,0.9935
"AF1","2000","25","PowerExp",187.8263,1.9695,0,44950,-336936.4237,673876.8477,2.0002,0.2689,0,0.9935
"AF1","2000","25","LogNormPos",187.8263,0,2.7369,44950,-337461.5812,674927.1627,1052.3153,0,525.1576,0
"AF1","2000","25","Exp",187.8263,0.0001,0,44950,-460304.877,920611.754,246736.9065,0,123368.4533,0
"AF1","2000","30","Power",155.6275,1.9594,0,47006,-346469.0608,692940.1217,0,0.7311,0,0.9932
"AF1","2000","30","PowerExp",155.6275,1.9594,0,47006,-346469.0608,692942.122,2.0002,0.2689,0,0.9932
"AF1","2000","30","LogNormPos",155.6275,0,2.7191,47006,-347038.5015,694081.0032,1140.8815,0,569.4407,0
"AF1","2000","30","Exp",155.6275,0.0002,0,47006,-473569.2322,947140.4645,254200.3428,0,127100.1714,0
"AF1","2000","35","Power",246.8575,1.9365,0,25510,-199086.2974,398174.5949,0,0.7311,0,0.9948
"AF1","2000","35","PowerExp",246.8575,1.9366,0,25510,-199086.2974,398176.5953,2.0004,0.2689,0,0.9948
"AF1","2000","35","LogNormPos",246.8575,0,2.8474,25510,-199331.6383,398667.277,492.6821,0,245.3409,0
"AF1","2000","35","Exp",246.8575,0.0001,0,25510,-266542.1038,533086.2077,134911.6128,0,67455.8064,0
"AF1","2000","40","Power",155.6275,1.9454,0,32989,-243840.8842,487683.7686,0,0.7311,0.0002,0.9846
"AF1","2000","40","PowerExp",155.6275,1.9453,0,32989,-243840.8844,487685.7692,2.0006,0.2689,0.0002,0.9846
"AF1","2000","40","LogNormPos",155.6275,0,2.7436,32989,-244218.8289,488441.6582,757.8897,0,377.9447,0
"AF1","2000","40","Exp",155.6275,0.0001,0,32989,-335662.2166,671326.4334,183642.6649,0,91821.3324,0
"AF1","2001","20","Power",225.3916,1.9805,0,38619,-294575.4357,589152.8714,0,0.7311,0,0.9948
"AF1","2001","20","PowerExp",225.3916,1.9805,0,38619,-294575.4357,589154.8717,2.0002,0.2689,0,0.9948
"AF1","2001","20","LogNormPos",225.3916,0,2.7491,38619,-294945.3942,589894.7887,741.9173,0,369.9585,0
"AF1","2001","20","Exp",225.3916,0.0001,0,38619,-412590.5395,825183.0791,236030.2077,0,118015.1039,0
"AF1","2001","25","Power",257.5904,1.9655,0,35918,-279125.8661,558253.7322,0,0.7311,0.0001,0.9896
"AF1","2001","25","PowerExp",257.5904,1.9656,0,35918,-279125.8661,558255.7326,2.0004,0.2689,0.0001,0.9896
"AF1","2001","25","LogNormPos",257.5904,0,2.8021,35918,-279490.0283,558984.057,730.3247,0,364.1622,0
"AF1","2001","25","Exp",257.5904,0.0001,0,35918,-376898.3456,753798.6914,195544.9592,0,97772.4796,0
"AF1","2001","30","Power",118.0623,1.97,0,68257,-486529.5009,973061.0018,0,0.7311,0.0001,0.991
"AF1","2001","30","PowerExp",118.0623,1.9699,0,68257,-486529.5009,973063.0021,2.0002,0.2689,0.0001,0.991
"AF1","2001","30","LogNormPos",118.0623,0,2.6462,68257,-487410.5148,974825.0297,1764.0279,0,881.0139,0
"AF1","2001","30","Exp",118.0623,0.0002,0,68257,-671275.2764,1342552.5528,369491.551,0,184745.7755,0
"AF1","2001","35","Power",155.6275,1.9599,0,39596,-291215.6558,582433.3116,0,0.7311,0,0.9935
"AF1","2001","35","PowerExp",155.6275,1.9599,0,39596,-291215.6558,582435.3119,2.0003,0.2689,0,0.9935
"AF1","2001","35","LogNormPos",155.6275,0,2.7188,39596,-291710.1173,583424.2349,990.9233,0,494.4615,0
"AF1","2001","35","Exp",155.6275,0.0002,0,39596,-399946.7818,799895.5638,217462.2521,0,108731.1261,0
"AF1","2001","40","Power",230.7581,1.9306,0,23326,-180857.239,361716.4782,0,0.7311,0,0.9983
"AF1","2001","40","PowerExp",230.7581,1.9306,0,23326,-180857.239,361718.4785,2.0003,0.2689,0,0.9983
"AF1","2001","40","LogNormPos",230.7581,0,2.855,23326,-181090.9939,362185.9883,469.5102,0,233.7549,0
"AF1","2001","40","Exp",230.7581,0.0001,0,23326,-243506.7734,487015.547,125299.0688,0,62649.5344,0
"AF1","2002","20","Power",193.1928,1.9883,0,42074,-314513.5399,629029.08,0,0.7311,0.0002,0.986
"AF1","2002","20","PowerExp",193.1928,1.9882,0,42074,-314513.5401,629031.0805,2.0005,0.2689,0.0002,0.986
"AF1","2002","20","LogNormPos",193.1928,0,2.706,42074,-314919.3395,629842.6792,813.5993,0,405.7995,0
"AF1","2002","20","Exp",193.1928,0.0001,0,42074,-447715.1736,895432.3473,266403.2674,0,133201.6337,0
"AF1","2002","25","Power",171.7269,1.9596,0,42261,-315003.1094,630008.2188,0,0.7311,0,0.9921
"AF1","2002","25","PowerExp",171.7269,1.9597,0,42261,-315003.1094,630010.2191,2.0003,0.2689,0,0.9921
"AF1","2002","25","LogNormPos",171.7269,0,2.7392,42261,-315540.8494,631085.6992,1077.4803,0,537.7401,0
"AF1","2002","25","Exp",171.7269,0.0001,0,42261,-443684.3128,887370.6256,257362.4068,0,128681.2034,0
"AF1","2002","30","Power",203.9257,1.9403,0,33901,-258237.8403,516477.6807,0,0.7311,0,0.9937
"AF1","2002","30","PowerExp",203.9257,1.9402,0,33901,-258237.8403,516479.681,2.0003,0.2689,0,0.9937
"AF1","2002","30","LogNormPos",203.9257,0,2.8071,33901,-258640.4461,517284.8925,807.2118,0,402.6058,0
"AF1","2002","30","Exp",203.9257,0.0001,0,33901,-356298.7319,712599.464,196121.7833,0,98060.8916,0
"AF1","2002","35","Power",107.3293,1.9354,0,55961,-398359.308,796720.6161,0,0.7311,0.0001,0.9877
"AF1","2002","35","PowerExp",107.3293,1.9354,0,55961,-398359.3081,796722.6164,2.0004,0.2689,0.0001,0.9877
"AF1","2002","35","LogNormPos",107.3293,0,2.6933,55961,-399201.4039,798406.808,1686.1919,0,842.0959,0
"AF1","2002","35","Exp",107.3293,0.0002,0,55961,-563288.8796,1126579.7592,329859.1432,0,164929.5716,0
"AF1","2002","40","Power",150.2611,1.9229,0,38518,-285105.7257,570213.4515,0,0.7311,-0.0001,0.9901
"AF1","2002","40","PowerExp",150.2611,1.9229,0,38518,-285105.7256,570215.4516,2.0001,0.2689,-0.0001,0.9901
"AF1","2002","40","LogNormPos",150.2611,0,2.7831,38518,-285634.0414,571272.0831,1058.6316,0,528.3157,0
"AF1","2002","40","Exp",150.2611,0.0001,0,38518,-392499.1517,785000.3036,214786.8521,0,107393.426,0
"AF1","2003","20","Power",166.3605,1.9777,0,46926,-346277.0927,692556.1855,0,0.7311,0.0001,0.9894
"AF1","2003","20","PowerExp",166.3605,1.9777,0,46926,-346277.0928,692558.1858,2.0003,0.2689,0.0001,0.9894
"AF1","2003","20","LogNormPos",166.3605,0,2.7082,46926,-346734.8042,693473.6086,917.4231,0,457.7115,0
"AF1","2003","20","Exp",166.3605,0.0001,0,46926,-492298.0749,984598.15,292041.9645,0,146020.9823,0
"AF1","2003","25","Power",246.8575,1.9631,0,30444,-235636.6269,471275.2539,0,0.7311,0.0001,0.9885
"AF1","2003","25","PowerExp",246.8575,1.9631,0,30444,-235636.627,471277.2544,2.0005,0.2689,0.0001,0.9885
"AF1","2003","25","LogNormPos",246.8575,0,2.7992,30444,-235957.6678,471919.336,644.082,0,321.0409,0
"AF1","2003","25","Exp",246.8575,0.0001,0,30444,-323911.409,647824.8182,176549.5642,0,88274.7821,0
"AF1","2003","30","Power",155.6275,1.9557,0,42085,-310578.7276,621159.4553,0,0.7311,0.0001,0.9875
"AF1","2003","30","PowerExp",155.6275,1.9557,0,42085,-310578.7277,621161.4557,2.0004,0.2689,0.0001,0.9875
"AF1","2003","30","LogNormPos",155.6275,0,2.727,42085,-311118.4841,622240.9686,1081.5133,0,539.7565,0
